,Rank,Movie Name,Year of release,IMDB Rating
113,114,Una separazione,2011,8.2
114,115,Taxi Driver,1976,8.2
115,116,Metropolis,1927,8.2
116,117,L.A. Confidential,1997,8.2
117,118,Trappola di cristallo,1988,8.2
118,119,Snatch - Lo strappo,2000,8.2
119,120,Indiana Jones e l'ultima crociata,1989,8.2
120,121,Ladri di biciclette,1948,8.2
121,122,Stelle sulla Terra,2007,8.2
122,123,1917,2019,8.2
123,124,La caduta - Gli ultimi giorni di Hitler,2004,8.2
124,125,Dangal,2016,8.2
125,126,Per qualche dollaro in piÃ¹,1965,8.2
126,127,Batman Begins,2005,8.2
127,128,Il monello,1921,8.2
128,129,A qualcuno piace caldo,1959,8.2
129,130,The Father,2020,8.2
130,131,Eva contro Eva,1950,8.2
131,132,Green Book,2018,8.2
132,133,The Wolf of Wall Street,2013,8.2
133,134,Vincitori e vinti,1961,8.2
134,135,CasinÃ²,1995,8.2
135,136,Ran,1985,8.2
136,137,Il labirinto del fauno,2006,8.2
137,138,The Truman Show,1998,8.2
138,139,Il petroliere,2007,8.2
139,140,Gli spietati,1992,8.2
140,141,The Sixth Sense - Il sesto senso,1999,8.2
141,142,Shutter Island,2010,8.2
142,143,A Beautiful Mind,2001,8.2
143,144,Jurassic Park,1993,8.1
144,145,La sfida del samurai,1961,8.1
145,146,Il tesoro della Sierra Madre,1948,8.1
146,147,Monty Python e il Sacro Graal,1975,8.1
147,148,La grande fuga,1963,8.1
148,149,Spider-Man: No Way Home,2021,8.1
149,150,Non Ã¨ un paese per vecchi,2007,8.1
150,151,Kill Bill - Volume 1,2003,8.1
151,152,Rashomon,1950,8.1
152,153,La cosa,1982,8.1
153,154,Alla ricerca di Nemo,2003,8.1
154,155,The Elephant Man,1980,8.1
155,156,Chinatown,1974,8.1
156,157,Toro scatenato,1980,8.1
157,158,V per Vendetta,2005,8.1
158,159,Via col vento,1939,8.1
159,160,Lock & Stock - Pazzi scatenati,1998,8.1
160,161,Inside Out,2015,8.1
161,162,Il delitto perfetto,1954,8.1
162,163,Il segreto dei suoi occhi,2009,8.1
163,164,Il castello errante di Howl,2004,8.1
164,165,"Tre manifesti a Ebbing, Missouri",2017,8.1
165,166,Il ponte sul fiume Kwai,1957,8.1
166,167,Trainspotting,1996,8.1
167,168,Prisoners,2013,8.1
168,169,Warrior,2011,8.1
169,170,Fargo,1996,8.1
170,171,Gran Torino,2008,8.1
171,172,Il mio vicino Totoro,1988,8.1
172,173,Prova a prendermi,2002,8.1
173,174,Million Dollar Baby,2004,8.1
174,175,I bambini del cielo,1997,8.1
175,176,Blade Runner,1982,8.1
176,177,La febbre dell'oro,1925,8.1
177,178,Prima dell'alba,1995,8.1
178,179,12 anni schiavo,2013,8.1
179,180,Klaus: I segreti del Natale,2019,8.1
180,181,Harry Potter e i Doni della Morte - Parte 2,2011,8.1
181,182,Fronte del porto,1954,8.1
182,183,Ben-Hur,1959,8.1
183,184,L'amore bugiardo - Gone Girl,2014,8.1
184,185,Grand Budapest Hotel,2014,8.1
185,186,Il posto delle fragole,1957,8.1
186,187,Come vinsi la guerra,1926,8.1
187,188,Il terzo uomo,1949,8.1
188,189,Nel nome del padre,1993,8.1
189,190,Il cacciatore,1978,8.1
190,191,Barry Lyndon,1975,8.1
191,192,La battaglia di Hacksaw Ridge,2016,8.1
192,193,Vite vendute,1953,8.1
193,194,Memorie di un assassino,2003,8.1
194,195,La palla nÂ° 13,1924,8.1
195,196,Storie Pazzesche,2014,8.1
196,197,Mr. Smith va a Washington,1939,8.1
197,198,Mad Max: Fury Road,2015,8.1
198,199,Il settimo sigillo,1957,8.1
199,200,Mary and Max,2009,8.1
200,201,Dragon Trainer,2010,8.1
201,202,Room,2015,8.1
202,203,Monsters & Co.,2001,8.1
203,204,Lo squalo,1975,8.1
204,205,Il grande Lebowski,1998,8.1
205,206,L'attimo fuggente,1989,8.1
206,207,Viaggio a Tokyo,1953,8.1
207,208,La passione di Giovanna d'Arco,1928,8.1
208,209,Hotel Rwanda,2004,8.0
209,210,Le Mans '66 - La grande sfida,2019,8.0
210,211,Rocky,1976,8.0
211,212,Platoon,1986,8.0
212,213,Ratatouille,2007,8.0
213,214,Il caso Spotlight,2015,8.0
214,215,Terminator,1984,8.0
215,216,Logan - The Wolverine,2017,8.0
216,217,Stand by Me - Ricordo di un'estate,1986,8.0
217,218,Rush,2013,8.0
218,219,Quinto potere,1976,8.0
219,220,Into the Wild - Nelle terre selvagge,2007,8.0
220,221,Prima del tramonto,2004,8.0
221,222,Il mago di Oz,1939,8.0
222,223,Il lamento sul sentiero,1955,8.0
223,224,Ricomincio da capo,1993,8.0
224,225,I migliori anni della nostra vita,1946,8.0
225,226,L'esorcista,1973,8.0
226,227,Gli Incredibili - Una 'normale' famiglia di supereroi,2004,8.0
227,228,Vogliamo vivere!,1942,8.0
228,229,L'odio,1995,8.0
229,230,La battaglia di Algeri,1966,8.0
230,231,La maledizione della prima luna,2003,8.0
231,232,Hachiko - Il tuo migliore amico,2009,8.0
232,233,Furore,1940,8.0
233,234,Mio padre e mio figlio,2005,8.0
234,235,Jai Bhim,2021,8.0
235,236,Amores perros,2000,8.0
236,237,Rebecca - La prima moglie,1940,8.0
237,238,Nick mano fredda,1967,8.0
238,239,Mademoiselle,2016,8.0
239,240,I 400 colpi,1959,8.0
240,241,Tutti insieme appassionatamente,1965,8.0
241,242,Accadde una notte,1934,8.0
242,243,Persona,1966,8.0
243,244,Brian di Nazareth,1979,8.0
244,245,Il gigante di ferro,1999,8.0
245,246,The Help,2011,8.0
246,247,"Dersu Uzala, il piccolo uomo delle grandi pianure",1975,8.0
247,248,Aladdin,1992,8.0
248,249,Gandhi,1982,8.0
249,250,Balla coi lupi,1990,8.0
